ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
1.0,2023-09-24,Intrusion,échec mise jour logiciel,Élevée,Ouvert,Equipe Réseau
2.0,2023-07-12,Panne matérielle,mise jour firmware a échoué,Élevée,En cours,Equipe Sécurité
3.0,2023-05-26,Intrusion,carte réseau ne répond plus,Faible,En cours,Equipe Réseau
4.0,2023-04-16,Intrusion,échec mise jour logiciel,Moyenne,Ouvert,Equipe Support
5.0,2023-10-22,Intrusion,échec mise jour logiciel,Faible,Ouvert,Equipe Réseau
6.0,2023-10-30,Intrusion,serveur principal a cessé fonctionner,Élevée,Ouvert,Equipe Systèmes
7.0,2023-10-02,Surcharge,accès suspects ont été détectés,Moyenne,En cours,Equipe Réseau
8.0,2023-01-12,Intrusion,serveur principal a cessé fonctionner,Faible,En cours,Equipe Support
9.0,2023-10-06,Mise à jour échouée,base données est sous forte charge,Critique,En cours,Equipe Sécurité
10.0,2023-08-20,Panne matérielle,échec mise jour logiciel,Moyenne,Résolu,Equipe Systèmes
11.0,2023-07-05,Surcharge,mise jour firmware a échoué,Critique,En cours,Equipe Systèmes
12.0,2023-08-01,Problème de connexion,serveur principal a cessé fonctionner,Critique,Résolu,Equipe Sécurité
13.0,2023-03-31,Panne matérielle,mise jour firmware a échoué,Faible,En cours,Equipe Sécurité
14.0,2023-11-07,Surcharge,serveur web est surchargé,Élevée,En cours,Equipe Réseau
15.0,2023-06-14,Panne matérielle,accès suspects ont été détectés,Critique,En cours,Equipe Réseau
16.0,2023-08-02,Intrusion,base données est sous forte charge,Critique,Résolu,Equipe Sécurité
17.0,2023-05-10,Problème de connexion,serveur web est surchargé,Moyenne,En cours,Equipe Réseau
18.0,2023-08-15,Mise à jour échouée,capacité bande passante dépassée,Critique,En cours,Equipe Réseau
19.0,2023-10-14,Intrusion,serveur principal a cessé fonctionner,Moyenne,En cours,Equipe Support
20.0,2023-07-11,Problème de connexion,accès suspects ont été détectés,Faible,Ouvert,Equipe Sécurité
21.0,2023-08-11,Panne matérielle,disque dur est tombé panne,Faible,Ouvert,Equipe Réseau
22.0,2023-07-28,Problème de connexion,malware a été trouvé sur serveur,Critique,Résolu,Equipe Support
23.0,2023-09-14,Intrusion,connexion intermittente détectée,Critique,Ouvert,Equipe Sécurité
24.0,2023-08-05,Mise à jour échouée,serveur web est surchargé,Critique,En cours,Equipe Systèmes
25.0,2023-01-23,Intrusion,mise jour firmware a échoué,Élevée,En cours,Equipe Support
26.0,2023-10-29,Panne matérielle,mise jour firmware a échoué,Moyenne,Ouvert,Equipe Systèmes
27.0,2023-03-20,Panne matérielle,accès suspects ont été détectés,Élevée,Ouvert,Equipe Sécurité
28.0,2023-01-07,Surcharge,connexion au vpn a échoué,Faible,Ouvert,Equipe Sécurité
29.0,2023-03-05,Intrusion,mise jour firmware a échoué,Élevée,En cours,Equipe Sécurité
30.0,2023-12-30,Problème de connexion,accès suspects ont été détectés,Élevée,Résolu,Equipe Réseau
31.0,2023-02-26,Mise à jour échouée,serveur principal a cessé fonctionner,Critique,En cours,Equipe Systèmes
